     Time(s)        TA(C)        TB(C)        TC(C)        TD(C)        TE(C)   Ambient(C)
        0.23       182.00       204.00       195.00       203.00       199.00       195.00
        1.66       183.00       206.00       196.00       204.00       200.00       195.00
        2.76       185.00       206.00       196.00       205.00       200.00       195.00
        3.85       187.00       206.00       196.00       204.00       200.00       195.00
        4.94       188.00       206.00       195.00       205.00       200.00       195.00
        6.03       190.00       206.00       195.00       204.00       200.00       195.00
        7.12       191.00       206.00       196.00       204.00       200.00       195.00
        8.20       192.00       206.00       195.00       205.00       200.00       195.00
        9.29       193.00       206.00       195.00       205.00       200.00       195.00
       10.36       194.00       206.00       196.00       204.00       200.00       195.00
       11.45       194.00       206.00       196.00       204.00       200.00       195.00
       12.54       195.00       206.00       196.00       204.00       201.00       195.00
       13.63       196.00       206.00       196.00       205.00       200.00       195.00
       14.73       197.00       206.00       196.00       204.00       200.00       195.00
       15.83       197.00       206.00       195.00       205.00       200.00       194.00
       16.93       198.00       206.00       196.00       205.00       200.00       195.00
       18.03       199.00       206.00       195.00       204.00       200.00       195.00
       19.13       199.00       207.00       195.00       205.00       201.00       195.00
       20.20       200.00       207.00       195.00       204.00       200.00       195.00
       21.27       200.00       207.00       196.00       205.00       201.00       195.00
       22.37       200.00       207.00       196.00       205.00       200.00       195.00
       23.45       202.00       207.00       196.00       205.00       200.00       195.00
       24.56       202.00       207.00       195.00       205.00       200.00       195.00
       25.64       202.00       207.00       196.00       204.00       200.00       195.00
       26.72       203.00       207.00       196.00       204.00       200.00       195.00
       27.83       203.00       207.00       196.00       204.00       201.00       195.00
       28.91       204.00       208.00       196.00       204.00       200.00       195.00
       30.00       204.00       207.00       196.00       205.00       200.00       195.00
       31.09       205.00       208.00       196.00       204.00       200.00       195.00
       32.20       205.00       208.00       196.00       204.00       200.00       195.00
       33.31       205.00       208.00       196.00       204.00       200.00       195.00
       34.41       206.00       208.00       196.00       205.00       200.00       195.00
       35.49       206.00       209.00       196.00       205.00       200.00       195.00
       36.59       207.00       209.00       196.00       204.00       200.00       195.00
       37.68       208.00       209.00       196.00       205.00       200.00       196.00
       38.79       207.00       209.00       196.00       205.00       200.00       196.00
       39.88       208.00       209.00       196.00       204.00       200.00       196.00
       40.97       208.00       209.00       196.00       204.00       200.00       196.00
       42.07       209.00       209.00       196.00       204.00       200.00       196.00
       43.17       209.00       210.00       196.00       205.00       200.00       195.00
       44.26       210.00       210.00       197.00       205.00       200.00       196.00
       45.35       210.00       210.00       197.00       205.00       200.00       196.00
