     Time(s)     Power(C)        TB(C)        TC(C)        TD(C)        TE(C)   Ambient(C)
        0.23        -3.17        -0.79         0.49        24.41        -0.23        23.85
        1.45        -3.17        -0.64         0.49        24.41        -0.08        23.70
        2.61        -3.02        -0.64         0.63        24.56         0.07        23.80
        3.71        -3.17        -0.64         0.49        24.56        -0.08        23.80
        4.80        -3.02        -0.64         0.49        24.56        -0.08        23.80
        5.90        -3.02        -0.64         0.49        24.71         0.07        23.75
        6.98        -3.02        -0.79         0.49        24.56        -0.08        23.90
        8.06        -3.02        -0.64         0.63        24.71         0.07        23.80
        9.16        -3.02        -0.64         0.49        24.56        -0.08        23.80
       10.25        -3.02        -0.64         0.49        24.56         0.07        23.95
       11.35        -3.02        -0.64         0.63        24.56        -0.08        23.95
       12.43        -3.02        -0.79         0.49        24.56        -0.23        23.95
       13.52        -3.17        -0.64         0.34        24.56        -0.23        23.95
       14.61        -3.17        -0.49         0.34        24.56        -0.23        23.95
       15.70        -3.02        -0.34         0.49        24.56        -0.08        24.00
       16.80        -2.71        -0.19         0.49        24.56         0.07        24.00
       17.89        -3.02        -0.19         0.49        24.56         0.07        23.95
       18.98        -2.87        -0.03         0.49        24.56         0.22        23.95
       20.08        -2.87        -0.03         0.49        24.56         0.22        23.95
       21.19        -2.71         0.12         0.63        24.56         0.22        23.95
       22.27        -2.71         0.12         0.63        24.56         0.37        23.95
       23.36        -2.71         0.12         0.63        24.41         0.37        23.90
       24.46        -2.56         0.12         0.63        24.41         0.52        24.00
       25.55        -2.56         0.27         0.78        24.41         0.52        23.95
       26.65        -2.56         0.42         0.78        24.56         0.52        23.90
       27.73        -2.41         0.42         0.78        24.56         0.52        23.90
       28.82        -2.56         0.58         0.78        24.56         0.68        23.90
       29.90        -2.41         0.58         0.92        24.56         0.68        23.90
       30.99        -2.41         0.58         0.92        24.71         0.68        23.95
       32.07        -2.41         0.73         0.92        24.56         0.83        24.00
       33.16        -2.25         0.88         0.92        24.56         0.83        23.90
       34.25        -2.25         0.88         1.07        24.56         0.83        24.00
       35.35        -2.10         1.03         1.07        24.71         0.98        24.00
       36.43        -2.10         1.18         1.07        24.71         0.98        24.00
       37.52        -1.95         1.18         1.21        24.71         1.13        24.05
       38.60        -1.95         1.18         1.21        24.71         1.13        24.05
       39.67        -1.95         1.18         1.21        24.86         1.13        24.00
       40.79        -1.95         1.18         1.35        24.86         1.13        24.00
       41.89        -1.79         1.18         1.35        24.71         1.13        24.00
       42.98        -1.79         1.34         1.21        24.56         1.13        24.05
       44.06        -1.79         1.18         1.35        24.71         1.13        23.95
       45.16        -1.79         1.34         1.35        24.56         1.13        24.05
       46.26        -1.79         1.34         1.35        24.56         1.28        24.00
       47.37        -1.79         1.34         1.50        24.56         1.13        24.05
       48.47        -1.79         1.34         1.35        24.56         1.28        24.00
       49.56        -1.64         1.49         1.50        24.71         1.28        24.00
       50.67        -1.64         1.34         1.35        24.71         1.28        24.00
       51.77        -1.64         1.49         1.50        24.56         1.28        24.00
       52.88        -1.64         1.49         1.50        24.56         1.28        24.05
       53.97        -1.64         1.49         1.50        24.56         1.28        24.05
       55.06        -1.64         1.49         1.50        24.56         1.58        24.00
       56.15        -1.64         1.64         1.50        24.56         1.58        24.10
       57.24        -1.64         1.79         1.64        24.56         1.58        24.00
       58.32        -1.49         1.79         1.64        24.56         1.73        24.05
       59.41        -1.49         1.79         1.64        24.56         1.73        24.05
       60.50        -1.33         1.79         1.79        24.71         1.58        24.00
       61.57        -1.49         1.79         1.79        24.56         2.03        23.95
       62.66        -1.33         1.95         1.79        24.71         1.73        24.05
       63.76        -1.33         1.95         1.93        24.56         1.58        24.05
       64.85        -1.33         1.95         1.93        24.56         1.73        24.00
       65.96        -1.18         1.95         1.93        24.71         2.18        24.00
