     Time(s)        TA(C)        TB(C)        TC(C)        TD(C)        TE(C)   Ambient(C)
        0.16      1023.00       469.00       465.00       470.00      1023.00       138.00
        1.25      1023.00       470.00       465.00       470.00      1023.00       141.00
        2.34      1023.00       470.00       465.00       470.00      1023.00       143.00
        3.42      1023.00       470.00       465.00       470.00      1023.00       145.00
        4.53      1023.00       469.00       466.00       470.00      1023.00       147.00
        5.62      1023.00       469.00       466.00       471.00      1023.00       148.00
        6.73      1023.00       469.00       465.00       470.00      1023.00       149.00
        7.86      1023.00       470.00       465.00       470.00      1023.00       150.00
        8.96      1023.00       469.00       465.00       470.00      1023.00       152.00
       10.04      1023.00       469.00       465.00       469.00      1023.00       153.00
       11.13      1023.00       469.00       465.00       470.00      1023.00       155.00
       12.21      1023.00       470.00       465.00       470.00      1023.00       156.00
       13.30      1023.00       469.00       465.00       470.00      1023.00       156.00
       14.39      1023.00       470.00       465.00       470.00      1023.00       157.00
       15.50      1023.00       470.00       465.00       469.00      1023.00       159.00
       16.57      1023.00       470.00       465.00       469.00      1023.00       159.00
       17.66      1023.00       470.00       465.00       469.00      1023.00       160.00
       18.78      1023.00       470.00       465.00       469.00      1023.00       161.00
       19.87      1023.00       469.00       465.00       470.00      1023.00       162.00
       20.95      1023.00       469.00       465.00       469.00      1023.00       163.00
       22.04      1023.00       469.00       466.00       469.00      1023.00       164.00
       23.14      1023.00       469.00       466.00       470.00      1023.00       164.00
       24.21      1023.00       469.00       465.00       470.00      1023.00       165.00
       25.30      1023.00       469.00       465.00       470.00      1023.00       165.00
       26.39      1023.00       470.00       465.00       469.00      1023.00       166.00
       27.49      1023.00       470.00       466.00       469.00      1023.00       166.00
       28.57      1023.00       470.00       465.00       469.00      1023.00       167.00
       29.67      1023.00       469.00       465.00       469.00      1023.00       167.00
       30.77      1023.00       469.00       466.00       469.00      1023.00       169.00
       31.87      1023.00       468.00       466.00       469.00      1023.00       170.00
       32.95      1023.00       469.00       465.00       469.00      1023.00       170.00
       34.03      1023.00       469.00       465.00       469.00      1023.00       171.00
       35.13      1023.00       468.00       465.00       469.00      1023.00       171.00
       36.21      1023.00       468.00       465.00       470.00      1023.00       172.00
       37.31      1023.00       468.00       465.00       469.00      1023.00       172.00
       38.40      1023.00       469.00       465.00       469.00      1023.00       172.00
       39.49      1023.00       469.00       465.00       468.00      1023.00       173.00
       40.59      1023.00       469.00       464.00       468.00      1023.00       173.00
       41.67      1023.00       469.00       464.00       468.00      1023.00       174.00
       42.77      1023.00       470.00       465.00       468.00      1023.00       175.00
       43.86      1023.00       469.00       465.00       468.00      1023.00       175.00
       44.95      1023.00       469.00       464.00       469.00      1023.00       175.00
       46.03      1023.00       469.00       464.00       469.00      1023.00       176.00
       47.12      1023.00       468.00       464.00       469.00      1023.00       176.00
       48.22      1023.00       468.00       464.00       468.00      1023.00       176.00
       49.30      1023.00       468.00       464.00       468.00      1023.00       176.00
       50.40      1023.00       468.00       465.00       468.00      1023.00       177.00
       51.49      1023.00       468.00       465.00       468.00      1023.00       177.00
       52.58      1023.00       468.00       464.00       468.00      1023.00       177.00
       53.67      1023.00       467.00       464.00       468.00      1023.00       178.00
       54.76      1023.00       468.00       464.00       468.00      1023.00       178.00
       55.84      1023.00       467.00       464.00       468.00      1023.00       179.00
       56.94      1023.00       467.00       463.00       468.00      1023.00       179.00
       58.03      1023.00       467.00       464.00       467.00      1023.00       180.00
       59.13      1023.00       467.00       463.00       467.00      1023.00       180.00
       60.23      1023.00       468.00       463.00       468.00      1023.00       180.00
       61.31      1023.00       467.00       464.00       467.00      1023.00       180.00
       62.42      1023.00       467.00       463.00       467.00      1023.00       180.00
       63.52      1023.00       467.00       463.00       467.00      1023.00       181.00
       64.63      1023.00       467.00       463.00       467.00      1023.00       181.00
       65.72      1023.00       467.00       463.00       467.00      1023.00       182.00
       66.80      1023.00       467.00       463.00       467.00      1023.00       182.00
       67.89      1023.00       467.00       463.00       467.00      1023.00       182.00
       68.98      1023.00       467.00       463.00       467.00      1023.00       182.00
       70.09      1023.00       467.00       463.00       467.00      1023.00       182.00
       71.17      1023.00       467.00       463.00       467.00      1023.00       183.00
       72.27      1023.00       466.00       463.00       467.00      1023.00       183.00
       73.36      1023.00       466.00       463.00       467.00      1023.00       183.00
       74.46      1023.00       466.00       463.00       467.00      1023.00       183.00
       75.57      1023.00       466.00       463.00       467.00      1023.00       183.00
       76.67      1023.00       466.00       463.00       467.00      1023.00       184.00
       77.78      1023.00       466.00       462.00       467.00      1023.00       184.00
       78.89      1023.00       466.00       462.00       467.00      1023.00       184.00
       80.01      1023.00       466.00       462.00       467.00      1023.00       184.00
       81.10      1023.00       465.00       462.00       467.00      1023.00       185.00
       82.19      1023.00       466.00       463.00       466.00      1023.00       185.00
       83.27      1023.00       465.00       462.00       466.00      1023.00       185.00
       84.38      1023.00       466.00       462.00       465.00      1023.00       185.00
       85.46      1023.00       466.00       462.00       465.00      1023.00       186.00
       86.54      1023.00       466.00       462.00       465.00      1023.00       185.00
       87.62      1023.00       466.00       462.00       465.00      1023.00       185.00
       88.73      1023.00       466.00       462.00       465.00      1023.00       185.00
       89.87      1023.00       466.00       462.00       465.00      1023.00       186.00
       90.96      1023.00       466.00       462.00       465.00      1023.00       186.00
       92.04      1023.00       466.00       462.00       465.00      1023.00       186.00
       93.14      1023.00       466.00       461.00       465.00      1023.00       186.00
       94.25      1023.00       466.00       461.00       465.00      1023.00       186.00
       95.36      1023.00       465.00       461.00       465.00      1023.00       186.00
       96.46      1023.00       465.00       461.00       464.00      1023.00       186.00
       97.55      1023.00       466.00       462.00       464.00      1023.00       186.00
       98.63      1023.00       466.00       461.00       464.00      1023.00       186.00
       99.73      1023.00       466.00       461.00       464.00      1023.00       186.00
      100.82      1023.00       466.00       461.00       464.00      1023.00       186.00
      101.94      1023.00       466.00       461.00       464.00      1023.00       186.00
      103.04      1023.00       466.00       461.00       464.00      1023.00       186.00
      104.13      1023.00       466.00       460.00       464.00      1023.00       187.00
