     Time(s)        TA(C)        TB(C)        TC(C)        TD(C)        TE(C)   Ambient(C)
        0.16       907.00       413.00       411.00       403.00       204.00        57.00
        1.26         0.00       414.00       412.00       404.00       205.00        57.00
        2.35       529.00       414.00       412.00       404.00       205.00        58.00
        3.44       337.00       414.00       411.00       404.00       205.00        57.00
        4.54      1023.00       414.00       412.00       403.00       205.00        57.00
        5.62       639.00       414.00       411.00       403.00       205.00        57.00
        6.69       342.00       414.00       411.00       404.00       206.00        57.00
        7.84      1023.00       414.00       412.00       403.00       206.00        57.00
        8.92      1023.00       414.00       411.00       403.00       206.00        57.00
       10.00      1023.00       414.00       412.00       404.00       206.00        57.00
       11.07      1023.00       414.00       412.00       404.00       206.00        57.00
       12.15      1023.00       414.00       412.00       403.00       206.00        57.00
       13.23      1023.00       414.00       411.00       403.00       206.00        57.00
       14.30      1023.00       414.00       412.00       403.00       206.00        57.00
       15.39      1023.00       414.00       411.00       403.00       206.00        57.00
       16.48      1023.00       414.00       411.00       404.00       206.00        57.00
       17.58      1023.00       414.00       411.00       404.00       207.00        57.00
       18.67      1023.00       413.00       411.00       403.00       207.00        57.00
       19.81      1023.00       413.00       411.00       403.00       206.00        57.00
       20.93      1023.00       414.00       411.00       403.00       207.00        56.00
       22.03      1023.00       414.00       411.00       403.00       207.00        57.00
       23.13       927.00       414.00       411.00       403.00       207.00        56.00
       24.23      1023.00       414.00       411.00       403.00       207.00        57.00
       25.30      1023.00       414.00       411.00       403.00       208.00        56.00
       26.39      1014.00       413.00       410.00       403.00       207.00        57.00
       27.49      1023.00       414.00       411.00       403.00       208.00        56.00
       28.56      1023.00       414.00       411.00       403.00       208.00        56.00
       29.66      1023.00       413.00       411.00       403.00       207.00        56.00
       30.75      1023.00       414.00       410.00       403.00       207.00        56.00
       31.86      1023.00       413.00       410.00       403.00       208.00        56.00
       32.94      1023.00       413.00       410.00       403.00       208.00        56.00
       34.04      1023.00       414.00       410.00       403.00       208.00        56.00
       35.14      1023.00       414.00       410.00       403.00       208.00        55.00
       36.23      1023.00       414.00       410.00       403.00       208.00        56.00
       37.36      1023.00       413.00       410.00       402.00       208.00        56.00
       38.44       888.00       412.00       410.00       403.00       207.00        56.00
       39.52      1023.00       413.00       410.00       403.00       208.00        56.00
       40.60      1023.00       412.00       410.00       403.00       208.00        56.00
       41.69      1023.00       413.00       411.00       403.00       208.00        56.00
       42.78      1023.00       412.00       411.00       403.00       208.00        56.00
